company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
TechnoLynx,artificial-intelligence,,5.0,(3 Reviews),,TechnoLynx provided technical research and development services for a Blockchain services company. They dealt with the graphics processing unit technology.,"['Automotive', 'Medical', 'Information technology', 'Telecommunications']","Budapest, Hungary",2 - 9 employees,"$10,000+"
Deeper Insights,artificial-intelligence,"Founded in 2014, Deeper Insights is a London based machine learning and data science consultancy. With another office in Portugal, their team of 10 specialize in artificial intelligence, big data consulting, custom software development, and business consulting. Their mid market and enterprise clients are primarily in the advertising, consumer products, financial services, and health care industries. ",4.9,(8 Reviews),Smith and Nephew; Deloitte; Breast Cancer Now; IAC,Deeper Insights developed an AI-powered matching algorithm to pair statements of work with optimal contractors and freelancers. They also built a frontend chatbot to aid users in developing their scope of work.,"['Financial services', 'Government', 'Medical', 'Information technology', 'Legal', 'Energy & natural resources', 'Non-profit', 'Real estate', 'Telecommunications']","London, United Kingdom",10 - 49 employees,"$25,000+"
Achievion Solutions,artificial-intelligence,"Achievion Solutions is an AI Development Agency based in McLean, Virginia. Founded in 2013, the medium-sized team focuses on the success of every AI project through their battle-tested delivery process ACHIEVE and backs it up by their AI Accuracy Guarantee. They deliver products for web, mobile, and enterprise platforms.",5.0,(11 Reviews),,A public safety communications company hired Achievion Solutions to provide custom software development. They created a platform for Android that enables users to measure their wireless reliable performance.,"['Medical', 'Hospitality & leisure', 'Information technology', 'Non-profit', 'Telecommunications']","McLean, VA",10 - 49 employees,"$25,000+"
DATAFOREST,artificial-intelligence,"Dataforest is a data science and web development agency based in Kyiv, Ukraine with an office in New York. Their team of 10 has offered services in BI & big data consulting & SI, custom software development, and web development to small and midmarket businesses since their founding in 2018. They are proficient in multiple frameworks, including Django, ReactJS, and WordPress, and use languages such as Python, JavaScript, and Visual Basic.",4.9,(17 Reviews),"AM Trading; IDN; Columb Trade; Unilever, BSG,Deeplegal, Little Giant Marketing, .",DATAFOREST is tasked with developing a web platform for a cloud and DevOps service provider's managing and reporting needs. They also handle the business and technical analysis of the project.,"['Advertising & marketing', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Retail']","Kyiv, Ukraine",50 - 249 employees,"$10,000+"
Iflexion,artificial-intelligence,"Iflexion a full-cycle software engineering company based in Denver with more than 850 IT professionals located in the US and Europe. Founded in 1999, they have delivered web, mobile, and omnichannel digital solutions to more than 500 clients. Iflexion runs an aI development lab and provides specialized services in data science, machine learning, computer vision, and other AI areas.",4.9,(23 Reviews),Google; Yandex; Ebay; Paypal,"Iflexion built a new website for Sleepers In Seattle, complete with an online design center that allowed customers to customize their products before purchasing.","['Advertising & marketing', 'Consumer products & services', 'Education', 'Financial services', 'Gaming', 'Medical', 'Hospitality & leisure', 'Information technology', 'Legal', 'Media']","Lakewood, CO",250 - 999 employees,"$10,000+"
Suffescom Solutions Inc,artificial-intelligence,"Headquartered in India, Suffescom Solutions is an IT firm skilled in web design, web development, and e-commerce development. The team of more than 60 employees serves mostly small and mid-market businesses in the IT, real estate, and advertising and marketing industries.",4.8,(58 Reviews),Morgan Elliott; PC Doctor; Unimilk; LIndsey Reishman Real Estate,Suffescom Solutions Inc developed a service portal for a pest control company. They also helped customize the header and footer design and provided insights about the site's overall structure.,"['Automotive', 'eCommerce', 'Education', 'Financial services', 'Gaming', 'Medical', 'Information technology', 'Real estate', 'Supply Chain, Logistics, and Transport']","CALIFORNIA, CA",250 - 999 employees,"$10,000+"
BotsCrew,artificial-intelligence,"BotsCrew is an artificial intelligence development firm in Lviv, Ukraine. Founded in 2016, BotsCrew has 35 employees, and specializes in developing enterprise-grade chatbots for customer service and communication solutions. Their full range of solutions includes chatbot development, automated voice programming, and IoT bot development.",4.7,(29 Reviews),,BotsCrew has designed and developed a software development firm's e-commerce product recommendation widget for cannabis dispensaries. They've also provided the client with ongoing maintenance support. ,"['eCommerce', 'Medical', 'Legal', 'Real estate']","San Francisco, CA",50 - 249 employees,"$10,000+"
InData Labs,artificial-intelligence,"InData Labs is a Data Science and AI-powered solutions provider headquartered in Cyprus with a team of 80+ employees distributed across Europe and U.S. Since 2014, the company has successfully delivered 150+ projects helping clients to grow their businesses by implementing Big Data analytics solutions for actionable insights extraction, predictive analytics and recommender engines, NLP, image/video analysis and object detection, human body pose estimation and tracking solutions. InData Labs has its own R&D center operating in the sphere of Machine Learning, Computer Vision and AI Software Development. They serve midmarket and enterprise businesses in a variety of industries.",5.0,(15 Reviews),Wargaming.net; AsstrA; Captiv8; FLO,"InData Labs designed and built a data analytics platform for a nonprofit. After creating a detailed schematic, they built the web application on a server and integrated it with the client's website.","['Advertising & marketing', 'Automotive', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Legal', 'Supply Chain, Logistics, and Transport']","Nicosia, Cyprus",50 - 249 employees,"$10,000+"
Sigmoidal LLC,artificial-intelligence,"Sigmoidal is a machine learning consulting firm based in New York, with offices in Warsaw, Poland. Founded in 2016, Sigmoidal's team of around 20 employees provides AI, BI/SI, and big data consulting services.",5.0,(10 Reviews),Novartis AG; Signal; T-Mobile; SkyCatch,Sigmoidal was augmented their software developers to help a crypto trading platform with developing their flagship product. They aim to connect its deep learning components and other AI-based tech effectively. ,"['Automotive', 'Business services', 'Consumer products & services', 'eCommerce', 'Financial services', 'Medical']","Warszawa, Poland",10 - 49 employees,"$10,000+"
nexocode,artificial-intelligence,"nexocode is a digital solutions company based in Krakow and Rzeszow, Poland. Founded in 2015, they have 10 employees who design modern and advanced IT systems, and innovative web solutions. Working for a range of small and midmarket companies and global enterprises, they specialize in the development of custom software and web and mobile applications.",4.9,(11 Reviews),Google; Nokia; Jetstream; Done Deliveries,"Working with API feed integrations, nexocode built the complex website using Java and .NET. They also manage the Azure cloud infrastructure and static servers and provide ongoing IT support.","['Financial services', 'Medical', 'Manufacturing', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Kraków, Poland",10 - 49 employees,"$25,000+"
