company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Resultant,big-data,"KSM Consulting is a data analytics company. Their midsize team is located in Indianapolis, Indiana and Indianapolis, Indiana. The agency focuses on BI & big data consulting & SI, IT managed services, cybersecurity, IT strategy consulting, and more. The agency was founded in 2008.",4.7,(8 Reviews),,Resultant (formerly KSM Consulting) provides ongoing IT support services to a construction company. The company aims to manage and move their IT environment to a cloud-based platform. ,"['Business services', 'Consumer products & services', 'Education', 'Government', 'Manufacturing', 'Non-profit', 'Supply Chain, Logistics, and Transport']","Indianapolis, IN",250 - 999 employees,"$5,000+"
Exometrics,big-data,"Exometrics is an AI development company. They are in London, United Kingdom and have a small team. The agency provides Artificial Intelligence, BI & big data consulting & SI, and business consulting.",5.0,(3 Reviews),,Exometrics created a machine learning (ML) algorithm for a digital asset mining company’s anti-money laundering tool. Their work involved creating a proof of concept (POC) for the firm to use in their service.,"['Advertising & marketing', 'Consumer products & services', 'Financial services', 'GPS, Navigation & GIS', 'Information technology']","London, United Kingdom",10 - 49 employees,"$25,000+"
Liquid Technologies,big-data,"Since 2017, Liquid Technologies has worked with small and midmarket companies in the retail, manufacturing, and energy industries. Headquartered in Karachi, the team of 7 provides clients with big data consulting, custom software development, artificial intelligence, UX/UI design, and web development services.",5.0,(11 Reviews),Precheck Inc (A Cisive Company); Intentomatic (A Silicon Valley Marketing Tech we helped raise 1.8 M USD in seed); The Home Dash (An Illinois Based Field Service company); Procheck Inc (A GSK Global Vendor),"Liquid Technologies is designing and developing a website, an Android and iOS app, and a desktop application for a travel website. They’ve used Figma for UX/UI design and done front- and backend development.","['eCommerce', 'Financial services', 'Legal', 'Manufacturing', 'Energy & natural resources', 'Retail']","Houston, TX",50 - 249 employees,"$10,000+"
Keyrus,big-data,"Keyrus is a digital consulting agency that has been offering BI and Big Data consulting, IT strategy consulting, Cloud consulting, and SI services to their clients in the retail, business services, and financial services industries since 1996. Their 10,000 employees are based out of their offices in London, NYC, LA, D.C., France, and Toronto. ",4.8,(15 Reviews),Dannon; Shake Shack; AB InBev; Remy Cointreau,"Keyrus provided Salesforce development and migration for a digital media company. They built a new Salesforce instance from scratch, migrated the client’s business unit into it, and offered post-launch support.","['Financial services', 'Manufacturing', 'Non-profit', 'Retail', 'Telecommunications', 'Supply Chain, Logistics, and Transport', 'Utilities']","New York, NY","1,000 - 9,999 employees","$25,000+"
CI&T,big-data,"CI&T (formerly CINQ Technologies) is software development company based in Curitiba, Brazil with additional offices in Brazil and Miami. Founded in 1992, the team of 271 specializes in custom software development, IT staff augmentation, and UX/UI design. They work primarily with enterprise clients in the transportation and financial services industries.",4.7,(7 Reviews),SITA; Lenovo; iHeart Media; Panasonic,"CI&T (formerly CINQ Technologies) provided development support, augmenting the team of a software development organization. They migrated an out-of-date Java Applet-based application to a modern web-based platform.","['eCommerce', 'Manufacturing', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Oakland, CA","1,000 - 9,999 employees","$100,000+"
Wavicle Data Solutions,big-data,"Business intelligence company Wavicle Data Solutions was founded in 2014. They are located in Chicago, Illinois; Oak Brook, Illinois and Coimbatore, India and have a midsize team. Wavicle Data Solutions focuses on BI & big data consulting & SI, cloud consulting & SI, and IT strategy consulting.",4.6,(5 Reviews),,"Wavicle Data Solutions was hired by a venture capital firm to develop a custom data warehouse and a BI dashboarding tool. They are in charge of the deliverables' design, development, testing, and more.","['Consumer products & services', 'Education', 'Financial services', 'Government', 'Hospitality & leisure', 'Manufacturing', 'Retail']","Chicago, IL",250 - 999 employees,"$75,000+"
Cobit Solutions,big-data,"Launched in 2018, Cobit Solutions is a business intelligence company. They are based in Kyiv, Ukraine and have a small team. Their services include BI & big data consulting & SI.",5.0,(6 Reviews),Tehnomart; Alfa Insurance; Dobrobut; Meest China,"Cobit Solutions developed a highly technological business intelligence solution for a mining company. They created personal dashboards, Integrated an ERP system via Power BI, and drew reporting metrics.","['Business services', 'Consumer products & services', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Media', 'Energy & natural resources']","Denver, CO",10 - 49 employees,"$5,000+"
N-iX,big-data,"N-iX is an Eastern European software development service company with headquarter in Lviv, Ukraine. Founded in 2002, N-iX has increased its presence in six countries spanning Europe and the US.",4.8,(29 Reviews),Fortune 500 companies; AVL; Saks Fifth Avenue; TuneIn,"N-iX provided primarily Java-based functional development, building applications on top of existing framework. The team managed large amounts of complicated, aggregated data and used specific language skills.","['Business services', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Manufacturing', 'Media', 'Energy & natural resources', 'Telecommunications']","Valletta, Malta","1,000 - 9,999 employees","$100,000+"
InData Labs,big-data,"InData Labs is a Data Science and AI-powered solutions provider headquartered in Cyprus with a team of 80+ employees distributed across Europe and U.S. Since 2014, the company has successfully delivered 150+ projects helping clients to grow their businesses by implementing Big Data analytics solutions for actionable insights extraction, predictive analytics and recommender engines, NLP, image/video analysis and object detection, human body pose estimation and tracking solutions. InData Labs has its own R&D center operating in the sphere of Machine Learning, Computer Vision and AI Software Development. They serve midmarket and enterprise businesses in a variety of industries.",5.0,(15 Reviews),Wargaming.net; AsstrA; Captiv8; FLO,"InData Labs designed and built a data analytics platform for a nonprofit. After creating a detailed schematic, they built the web application on a server and integrated it with the client's website.","['Advertising & marketing', 'Automotive', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Legal', 'Supply Chain, Logistics, and Transport']","Nicosia, Cyprus",50 - 249 employees,"$10,000+"
Experion Technologies,big-data,"Experion Technologies develops software solutions, mobile apps, cloud services, and IoT platforms. Established in 2006 and based in Addison, TX, their 350+ experts have created digital solutions for over 110 clients in the sectors of finance, retail, supply chain, and health.",4.9,(53 Reviews),Duracell; Speedo; TopGolf; Bacardi,"Experion Technologies is doing customized web dev, taking over work when the previous partner failed to deliver. They work on numerous projects, including cost reduction within the app and feature updates.","['Education', 'Financial services', 'Medical', 'Real estate', 'Retail', 'Supply Chain, Logistics, and Transport']","Plano, TX","1,000 - 9,999 employees","$25,000+"
