company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Hyperlink InfoSystem,blockchain,"Founded in 2011, Hyperlink InfoSystem is a 250+ team of professionals dedicated to IT services, mobile app development, and ERP/SI consulting. Based in Ahmedabad, the company offers a range of digital solutions from offices in the UK, US, and Australia.",4.8,(126 Reviews),Discovery; Viacom; Disney; Cartoon Network.,"Hyperlink InfoSystem developed a customer- and technician-facing mobile app for an auto detailing franchise. The technology stack included React Native, and the app was built for both iOS and Android devices.","['Advertising & marketing', 'Business services', 'Consumer products & services', 'Gaming', 'Information technology', 'Real estate', 'Supply Chain, Logistics, and Transport']","Ahmedabad, India",250 - 999 employees,"$10,000+"
RNO1,blockchain,"RNO1 is a digital design agency headquartered in California, with offices in Washington and Vancouver. Founded in 2007,  RNO1 has a team of less than 50 and specializes in UX/UI design, web design, web development, marketing strategy, branding, and SEO. ",4.7,(5 Reviews),Airbnb; Microsoft; Ericsson; Disney,"RNO1 designed and updated an existing Squarespace website for an architecture design firm. The website provided buying information for users, and RNO1 helped with establishing a stronger online presence.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'Financial services', 'Media', 'Real estate']","San Francisco, CA",50 - 249 employees,"$10,000+"
4soft,blockchain,"4soft is a software house headquartered in Wroclaw, Poland with another office in Dubai, the UAE. Founded in 2013, 4soft's team of 70 employees provides web development, UX/UI design, and custom software development services, having a particular focus on blockchain technology.",5.0,(40 Reviews),Elliptic; Gigaset; Artgeist; ITSEC Asia,"4soft provides custom software development services for a photo wallpaper e-commerce store. They have built a new internal system for managing products, order fulfillment, and returns.","['Arts, entertainment & music', 'Financial services', 'Gambling', 'Gaming', 'Energy & natural resources']","Wrocław, Poland",50 - 249 employees,"$10,000+"
SOTATEK JSC,blockchain,"SotaTek JSC is an AI and blockchain development company based in Hanoi, Vietnam, with offices in Tokyo and Osaka, and Costa Mesa, Calif. The company, founded in 2015, has more than 500 employees and provides blockchain, custom software development, mobile app development, web development, AI, e-commerce development, and IT strategy consulting services. SotaTek serves mid-market and other-sized companies in various industries that include arts & entertainment, business services, and automotive.",5.0,(29 Reviews),Klaytn Foundation; XinFin; Xeno Global; PolkaFoundry,"SOTATEK JSC built a healthcare web app for an IT outsourcing firm's client. The web app would enable patients to choose their preferred doctor, book appointments, and receive online consultations.","['Arts, entertainment & music', 'eCommerce', 'Education', 'Financial services', 'Gaming', 'Medical', 'Real estate', 'Retail', 'Supply Chain, Logistics, and Transport']","Hanoi, Vietnam",250 - 999 employees,"$10,000+"
Suffescom Solutions Inc,blockchain,"Headquartered in India, Suffescom Solutions is an IT firm skilled in web design, web development, and e-commerce development. The team of more than 60 employees serves mostly small and mid-market businesses in the IT, real estate, and advertising and marketing industries.",4.8,(58 Reviews),Morgan Elliott; PC Doctor; Unimilk; LIndsey Reishman Real Estate,Suffescom Solutions Inc developed a service portal for a pest control company. They also helped customize the header and footer design and provided insights about the site's overall structure.,"['Automotive', 'eCommerce', 'Education', 'Financial services', 'Gaming', 'Medical', 'Information technology', 'Real estate', 'Supply Chain, Logistics, and Transport']","CALIFORNIA, CA",250 - 999 employees,"$10,000+"
Newwave Solutions,blockchain,"Headquartered in Hanoi, Vietnam, NewWave Solutions has been a trusted Software Development company since 2011. Their services include web development, application management & support, and mobile app development in addition to IT strategy consulting, custom software development, AI, and blockchain.",4.8,(27 Reviews),UNDP; Axelor; Vingroup; GeekyAnts,"Newwave Solutions designed and developed an e-commerce website for a social media platform. They built the platform from scratch using JavaScript, Python, and Solidity.","['Business services', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Real estate']","Hanoi, Vietnam",250 - 999 employees,"$10,000+"
EvaCodes,blockchain,"EvaCodes is a full-stack custom software development company based in Kyiv, Ukraine. The company, founded in 2019, has a team of more than ten that provides custom software development, web development, mobile app development, blockchain, and e-commerce development services. EvaCodes serves mid-market and small companies in various industries that include business services, financial services, and consumer products & services.",5.0,(33 Reviews),Synesis One; Yop Finance,EvaCodes provided software development services for an NFT company. They audited the client's smart token contracts and decentralized their system. They also provided cybersecurity services.,"['Business services', 'Consumer products & services', 'Financial services']","Kyiv, Ukraine",50 - 249 employees,"$25,000+"
Peiko,blockchain,"Peiko is an IT development company located in Kyiv, Ukraine. Comprising 19 employees, they develop software solutions for various sized companies in IT, business services, finance, and healthcare. Services include frontend and backend development, UX and UI design, database management, testing, QA, and website management.",5.0,(34 Reviews),"OrionProtocol (Top 250 Cryptocurrencies on CoinMarketcap. The first gateway to the entire crypto market: aggregating every CEX, DEX, and swap pool into one decentralized platform. The market cap of ORN is 250 000 000$); LocalAway (Silicon Valley marketplace); Riabu, ContactsBook, Investros Exchange (SaaS projects of HongBao Media); GS Diamonds (Australian gewelry eCommerce)","Peiko has helped an IT company develop an MVP for an NFT marketplace. They've identified the platform's technical specifications, worked on the product design, and implemented it in code.","['Business services', 'eCommerce', 'Financial services']","Kyiv, Ukraine",50 - 249 employees,"$10,000+"
Webisoft,blockchain,"Webisoft is a full-service web and mobile development company based in Montreal, Canada. The company, founded in 2016, has a team of more than ten that provides web development, custom software development, mobile app development, UX/UI design, and IoT development services. Webisoft serves small and larger-sized companies in various industries that include business services, IT, and e-commerce. ",4.9,(7 Reviews),Cogeco; Astral Media / Bell; Proprio Direct; Edigo,"A payments solutions company hired Webisoft to provide blockchain development. They used Python, Node.js, and TypeScript to create an onramp from Fiat to Cryptocurrency as payment methods.","['Automotive', 'Business services', 'eCommerce', 'Gambling', 'Information technology']","Montreal, Canada",10 - 49 employees,"$5,000+"
Systango,blockchain,"Established in 2007, Systango Technologies is a global digital product development agency. They are headquartered in London and have additional international offices. Most clients are small businesses, many of which are in the entertainment, utilities, and hospitality sectors. ",4.8,(28 Reviews),MGM; Target; Grindr; Deloitte,"Systango helps a matching services company build a custom algorithm-based matching tool in WordPress and PHP. The team has automated various company services, including business email in Zoho.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'Education', 'Financial services', 'Gaming', 'Government', 'Hospitality & leisure', 'Information technology', 'Non-profit']","London, United Kingdom",250 - 999 employees,"$5,000+"
