company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Mutual Mobile,cloud-consulting,"Mutual Mobile is a development and digital products company headquartered in Austin, Texas with a satellite office in Hyderabad, India. Founded in 2009, the company has over 170 employees across locations. Mutual Mobile offers mobile app, AR/VR, IoT, and web development, as well as UX/UI and product design.",4.8,(15 Reviews),Under Armour; Flexdrive; Clorox; AccuWeather,"Mutual Mobile developed a hybrid, Cordova-based virtual kiosk that functions over mobile application and web, as well as from a desktop site.","['Automotive', 'Consumer products & services', 'Education', 'Medical', 'Information technology', 'Manufacturing', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport', 'Utilities']","Austin, TX",50 - 249 employees,"$25,000+"
StackOverdrive,cloud-consulting,"StackOverdrive is a DevOps consulting company founded in 2014 and based in New York. StackOverdrive provides DevOps infrastructure strategy and implementation consulting, 24/7 managed support services on AWS, GCP, Azure and on-premise for small, midmarket, and enterprise businesses alike.
 ",4.5,(4 Reviews),Petco; McGraw-Hill Education; ARM; University of Pennsylvania,StackOverdrive.io provides ongoing infrastructure support. They collaborated with an in-house team to design and develop an AWS platform. Future projects include a system overhaul for a legacy platform.,,"New York, NY",10 - 49 employees,"$25,000+"
Binariks,cloud-consulting,"Binariks is a web and mobile development company with offices in Ukraine and California. Their team of nearly 200 creates custom web, mobile, and big data solutions. Founded in 2014, Binariks works with startups and established businesses across the globe.",4.9,(52 Reviews),eMotorWercks/EnelX; EatStreet; Edulab; Pelican Procurement,"Binariks provides backend development work for a fintech platform. They help build the product’s backend using Node.js, TypeScript, JavaScript, and AWS and also offer light-touch project management.","['Education', 'Financial services', 'Medical', 'Information technology']","Torrance, CA",50 - 249 employees,"$10,000+"
IT Svit,cloud-consulting,"IT Svit is a managed services provider and IT consulting firm in Kharkiv, Ukraine. Founded in 2005, IT Svit offers a range of different capabilities like IT managed services, cloud consulting and system integration, IT strategy consulting, and BI and Big Data.",4.9,(55 Reviews),OneSky; Content Analytics; Natify; GlassWall,"IT Svit is a SaaS platform’s DevOps partner. They’ve prepared the necessary infrastructure for the product development using AWS, MySQL, JavaScript, Jenkins, Kubernetes, and GitHub.","['Advertising & marketing', 'Business services', 'eCommerce', 'Education', 'Financial services', 'Hospitality & leisure', 'Information technology']","L'viv, Ukraine",50 - 249 employees,"$25,000+"
Avenga,cloud-consulting,"Avenga is a global IT and digital transformation consultancy with over 20 years of experience for verticals such as pharma & life science, insurance and finance. Avenga has more than 2500 professionals with offices in Germany, Poland, Ukraine, the U.S., and Malaysia. Services include digital strategy & CX, custom software development, staffing, as well as Salesforce consulting, big data, and cloud solutions.",4.8,(55 Reviews),Roche; GSK; Credit Suisse; Trov,"Avenga has deployed a team of about 30 members to help a healthcare technology firm with their product development projects. They've designed, built, and tested various product features.","['Automotive', 'Financial services', 'Medical', 'Information technology']","Warszawa, Poland","1,000 - 9,999 employees","$50,000+"
Systango,cloud-consulting,"Established in 2007, Systango Technologies is a global digital product development agency. They are headquartered in London and have additional international offices. Most clients are small businesses, many of which are in the entertainment, utilities, and hospitality sectors. ",4.8,(28 Reviews),MGM; Target; Grindr; Deloitte,"Systango helps a matching services company build a custom algorithm-based matching tool in WordPress and PHP. The team has automated various company services, including business email in Zoho.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'Education', 'Financial services', 'Gaming', 'Government', 'Hospitality & leisure', 'Information technology', 'Non-profit']","London, United Kingdom",250 - 999 employees,"$5,000+"
DICEUS,cloud-consulting,"Diceus is a software engineering company headquartered in Kyiv, Ukraine, with offices also in Dubai, New York, and Vilnius, Lithuania. Founded in 2011, they have about 119 employees that do web and custom software development. Clients are mostly small and midmarket businesses in the real estate, healtchare, financial services, and advertising and marketing sectors. ",4.9,(46 Reviews),UNIQA; Willis Towers Watson; Fadata; Bank al Etihad,DICEUS has deployed a Java developer to help an EdTech firm sort complex tasks for their school management system. They've shortlisted qualified candidates who the client has given a test task.,"['Automotive', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Retail']","Wrocław, Poland",50 - 249 employees,"$10,000+"
Wavicle Data Solutions,cloud-consulting,"Business intelligence company Wavicle Data Solutions was founded in 2014. They are located in Chicago, Illinois; Oak Brook, Illinois and Coimbatore, India and have a midsize team. Wavicle Data Solutions focuses on BI & big data consulting & SI, cloud consulting & SI, and IT strategy consulting.",4.6,(5 Reviews),,"Wavicle Data Solutions was hired by a venture capital firm to develop a custom data warehouse and a BI dashboarding tool. They are in charge of the deliverables' design, development, testing, and more.","['Consumer products & services', 'Education', 'Financial services', 'Government', 'Hospitality & leisure', 'Manufacturing', 'Retail']","Chicago, IL",250 - 999 employees,"$75,000+"
N-iX,cloud-consulting,"N-iX is an Eastern European software development service company with headquarter in Lviv, Ukraine. Founded in 2002, N-iX has increased its presence in six countries spanning Europe and the US.",4.8,(29 Reviews),Fortune 500 companies; AVL; Saks Fifth Avenue; TuneIn,"N-iX provided primarily Java-based functional development, building applications on top of existing framework. The team managed large amounts of complicated, aggregated data and used specific language skills.","['Business services', 'Education', 'Financial services', 'Medical', 'Hospitality & leisure', 'Manufacturing', 'Media', 'Energy & natural resources', 'Telecommunications']","Valletta, Malta","1,000 - 9,999 employees","$100,000+"
Keyrus,cloud-consulting,"Keyrus is a digital consulting agency that has been offering BI and Big Data consulting, IT strategy consulting, Cloud consulting, and SI services to their clients in the retail, business services, and financial services industries since 1996. Their 10,000 employees are based out of their offices in London, NYC, LA, D.C., France, and Toronto. ",4.8,(15 Reviews),Dannon; Shake Shack; AB InBev; Remy Cointreau,"Keyrus provided Salesforce development and migration for a digital media company. They built a new Salesforce instance from scratch, migrated the client’s business unit into it, and offered post-launch support.","['Financial services', 'Manufacturing', 'Non-profit', 'Retail', 'Telecommunications', 'Supply Chain, Logistics, and Transport', 'Utilities']","New York, NY","1,000 - 9,999 employees","$25,000+"
Simform,cloud-consulting,"Simform is a custom software development company founded in 2010. They have helped organizations ranging from startups, Fortune 500 companies, and WHO-backed NGOs. The team of 250+ delivers digital solutions for their clients and offer artificial intelligence services, API integration, dedicated software development team, and software testing services.
 ",4.9,(39 Reviews),Redbull; Hilton; Sony Music; Boy Scouts of America,"Simform developed an internal web portal for a retail company. Augmenting the client's development capabilities, they used technologies such as Python, JavaScript, HTML, and CSS for the project.","['Arts, entertainment & music', 'Business services', 'Consumer products & services', 'eCommerce', 'Education', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Hospitality & leisure', 'Information technology']","Orlando, FL",250 - 999 employees,"$25,000+"
ELEKS,cloud-consulting,"Founded in 1991, ELEKS is a provider of software development, product design and technology advisory services. They offer cooperation models that fit the goals, resources and timelines of Fortune 500 companies, large enterprises, and small businesses. ELEKS has more than 2,000 specialists and 17 offices on three continents to serve their clients globally. ",4.8,(27 Reviews),Eagle Investment Systems (a subsidiary of BNY Mellon); Autodesk; ESET; TAIT,ELEKS developed a mobile application from scratch for a fintech company. They worked on the design and built the iOS and Android versions using React Native and an API written in Laravel.,"['Automotive', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Tallinn, Estonia","1,000 - 9,999 employees","$50,000+"
Tech Vedika Inc.,cloud-consulting,"Based in Hyderabad, India; San Jose, California and Perkasie, Pennsylvania, Tech Vedika Software Pvt Ltd is a midsize cloud consulting & SI and IT managed services company. Established in 2010, the team provides cloud consulting & SI and IT managed services.",4.8,(4 Reviews),,"A recruitment solutions firm was looking to develop an all-in-one platform to streamline their operations, so they engaged with Tech Vedika Inc. for their custom software development services.","['Medical', 'Information technology', 'Manufacturing', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Hyderabad, India",50 - 249 employees,"$25,000+"
Instil Software,cloud-consulting,"Instil Software is a software engineering firm based in Belfast, Northern Ireland. Founded in 2005, Instil has about 30 employees that work across a variety of industries. They offer custom software development, mobile app development, cloud consulting and software integration, IoT, and web development.",4.9,(7 Reviews),,Instil Software was hired by a tech company to support their internal development capabilities. They were tasked with developing sets of features across multiple developer tooling products.,"['Automotive', 'Education', 'Financial services', 'Medical', 'Information technology', 'Manufacturing', 'Retail', 'Telecommunications']","Belfast, United Kingdom",50 - 249 employees,"$50,000+"
IT Outposts,cloud-consulting,"Cloud consulting & SI company IT Outposts was established in 2020. Their small team is headquartered in Dnipro, Ukraine. Their services include cloud consulting & SI, IT managed services, IT staff augmentation, and other IT consulting and SI.",5.0,(10 Reviews),,"An e-commerce solution provider hired IT Outposts to provide various development services for their MVP project. The team created the architecture, chose a cloud provider, and made customizations.","['Business services', 'eCommerce', 'Financial services', 'Gambling', 'Gaming', 'Information technology']","Dnipro, Ukraine",10 - 49 employees,"$25,000+"
