company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Packetlabs Ltd.,cybersecurity,"Packetlabs Ltd. is a cybersecurity firm founded in 2011 in Mississauga, Canada. With no more than 10 members, they provide cybersecurity solutions to clients ranging from small firms to large companies in the fields of advertising, education, and financial services.",4.9,(22 Reviews),ECEBC; Brampton Brick Limited; Viscor,"Packetlabs Ltd. is a fintech company’s penetration testing partner. They identify vulnerabilities, test authorization mechanisms, assess communications, and more.","['Advertising & marketing', 'eCommerce', 'Education', 'Financial services', 'Medical', 'Information technology', 'Legal', 'Manufacturing', 'Media', 'Non-profit']","Mississauga, Canada",10 - 49 employees,"$5,000+"
Bytagig,cybersecurity,"Bytagig, an IT managed services company, is in Portland, Oregon. The small agency was launched in 2009. Their team offers IT managed services, cybersecurity, cloud consulting & SI, unified communications consulting & SI, and more.",5.0,(3 Reviews),Churchill Mortgage; Reformation; Versova; Consulate General of Mexico,"Bytagig provides various IT services. They resolve day-to-day issues, install hardware and software, manage cloud servers, and deliver cybersecurity work. They also onboard teammates into the client's system.","['Advertising & marketing', 'Automotive', 'Business services', 'Financial services', 'Government', 'Medical', 'Information technology', 'Legal', 'Manufacturing', 'Real estate']","Milwaukie, OR",2 - 9 employees,"$1,000+"
TPx Communications,cybersecurity,"TPx Communications is an IT services company headquartered in Waltham, Mass. with additional offices in Irvine and Orange County, Calif., Boston, and San Francisco. It was founded in 2000 and now has a team 780 that provides IT managed services, productivity, collaboration & UC consulting & SI, cybersecurity and more to mostly midmarket companies.",4.9,(13 Reviews),The Kraft Group,An entertainment company has hired TPx Communications to provide IT services. They do ISP and SD-WAN work to keep the client's internet connection reliable.,"['Business services', 'Education', 'Financial services', 'Medical', 'Legal', 'Manufacturing', 'Non-profit', 'Retail']","Austin, TX","1,000 - 9,999 employees","$1,000+"
UnderDefense,cybersecurity,"UnderDefense is a cybersecurity provider located in Lviv, Ukraine with a second office in New York City. The company was founded in 2016 and now has a team of 28 that exclusively provides cybersecurity services.",4.9,(54 Reviews),Mammut; Onit; Accedian; EVRYTHNG,UnderDefense scrutinized a contract that uses blockchain technology.,"['Business services', 'eCommerce', 'Financial services', 'Gaming', 'Medical', 'Information technology']","New York, NY",50 - 249 employees,"$5,000+"
Framework Security,cybersecurity,"Framework Security is a cybersecurity consulting firm with offices in Los Angeles; Austin, Texas; and Stockholm, Sweden. Founded in 2019, they are a young team of five employees specializing in identifying cyber vulnerabilities, eliminating critical threats, and implementing security programs. They work with a range of small, mid-size and large businesses in finance, the arts and healthcare.",5.0,(15 Reviews),Volo Solutions; Prolacta Bioscience; G2 IT Solutions; Rephyr,"Facing a need for cybersecurity assistance, an accounting firm reached out to Framework Security for a cybersecurity workshop. The client wanted to utilize more third parties for their platform. ","['Advertising & marketing', 'eCommerce', 'Financial services', 'Medical', 'Legal', 'Non-profit', 'Real estate']","Marina del Rey, CA",2 - 9 employees,"$5,000+"
CyberDuo,cybersecurity,"Cyber Duo is a cybersecurity consulting firm that was founded in 2008 and is located in Los Angeles. They have four employees who offers a suite of managed IT services, cybersecurity solutions and cloud computing. They work predominantly for small businesses and midmarket companies.",5.0,(33 Reviews),Disney; Koto Studio; Boom Box Post; Cardiovascular Medical Group,CyberDuo has developed the cybersecurity infrastructure of a law firm to help them keep their customers’ information safe and secure. The team is responsible for the company’s hardware and software needs. ,"['Business services', 'Dental', 'Financial services', 'Medical', 'Legal', 'Manufacturing', 'Media', 'Non-profit']","Glendale, CA",50 - 249 employees,"$5,000+"
Hacken,cybersecurity,"hacken is a global cybersecurity consultancy based in Tallinn, Estonia, with an office in Kyiv, Ukraine. The company, founded in 2017, has more than 50 employees and provides cybersecurity, blockchain, and IT managed services to small and midmarket companies and institutions in the financial services, e-commerce, health care & medical, IT, and other industries. ",4.9,(14 Reviews),AirAsia; VeChain; PEAKDEFI; Polkastarter,Hacken provides a bug bounty program for a travel company to enhance and secure their site security. The program is implemented in over 30 websites of the client.,"['Consumer products & services', 'eCommerce', 'Financial services', 'Medical', 'Information technology', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Kesklinna, Estonia",10 - 49 employees,"$10,000+"
Sikich,cybersecurity,"Headquartered in Naperville, Illinois; Akron , Ohio; Milwaukee, Wisconsin and Springfield, Illinois, Sikich is a big data company. The large team offers BI & big data consulting & SI, cloud consulting & SI, CRM consulting and SI, ERP consulting and SI, and more. The agency was established in 1982.",4.8,(6 Reviews),,"Sikich has provided server hosting and maintenance services for an automotive tools manufacturing company for over 20 years. Currently, they manage and host the client’s servers on the cloud using MS Azure.","['Education', 'Financial services', 'Government', 'Manufacturing', 'Non-profit']","Naperville, IL","1,000 - 9,999 employees","$5,000+"
Aligned Technology Solutions,cybersecurity,"Aligned Technology Solutions is a Washington, DC-based IT services provider. Their team of over 15 employees serves small and midmarket businesses. Additional services include cloud consulting & SI, cybersecurity, and voice services. They were founded in 2010.",5.0,(13 Reviews),,"Aligned Technology Solutions handles the IT operations of a management consulting firm. Their work includes hardware set-up, virus protection and cybersecurity, device monitoring, and on-demand tech support.",,"Washington, DC",10 - 49 employees,"$1,000+"
ELEKS,cybersecurity,"Founded in 1991, ELEKS is a provider of software development, product design and technology advisory services. They offer cooperation models that fit the goals, resources and timelines of Fortune 500 companies, large enterprises, and small businesses. ELEKS has more than 2,000 specialists and 17 offices on three continents to serve their clients globally. ",4.8,(27 Reviews),Eagle Investment Systems (a subsidiary of BNY Mellon); Autodesk; ESET; TAIT,ELEKS developed a mobile application from scratch for a fintech company. They worked on the design and built the iOS and Android versions using React Native and an API written in Laravel.,"['Automotive', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Media', 'Retail', 'Supply Chain, Logistics, and Transport']","Tallinn, Estonia","1,000 - 9,999 employees","$50,000+"
Total Networks,cybersecurity,"Located in Phoenix, Arizona, Total Networks is an IT managed services company. The small firm was established in 1986. Their team provides IT managed services, cloud consulting & SI, and IT strategy consulting.",5.0,(12 Reviews),,Total Networks serves as a law firm's external resource for IT networks services. They maintain the organization's systems to make sure their operations run efficiently and securely.,"['Business services', 'Medical', 'Legal', 'Manufacturing']","Phoenix, AZ",10 - 49 employees,Undisclosed
