company_name,category,description,overall_rating,review_count,clients,notable_project,industries,location,company_size,min_project_size
Yalantis,internet-of-things,"Web and mobile app development company Yalantis is based in Ukraine. Founded in 2008, the team of nearly 200 employees is fluent in web, Android, and iOS development – Swift, Kotlin, JavaScript, Ruby, Node.Js, Goland, and more.",4.8,(47 Reviews),KPMG; Zillow; Toyota Tsusho; Healthfully (US Healthcare web platform),Yalantis provided UI/UX design and mobile app development for an audiobooks and podcasts platform. The team used Flutter for design and developed the app using Go for Android and Swift for iOS.,"['Financial services', 'Medical', 'Information technology', 'Supply Chain, Logistics, and Transport']","Warszawa, Poland",250 - 999 employees,"$25,000+"
Netizens,internet-of-things,"Netizens is a software house based in Katowice, Poland. They were founded in 1999 and have 50 employees. Along with  IoT development, they also specialize in custom software, mobile app, and web development. They mostly work with midmarket clients in the business services, consumer products, and advertising industries.",4.8,(15 Reviews),Samsung; Janssen; Whisbear; Saint Gobain,"Netizens developed an event logistics app using beacon technology. The app directed attendees to assigned transportation, synced with personal schedules and provided workshop reminders, and facilitated polls.","['Advertising & marketing', 'Business services', 'Consumer products & services', 'Medical']","Katowice, Poland",50 - 249 employees,"$10,000+"
LANARS,internet-of-things,"LANARS is a digital agency based in Dnipro, Ukraine. Founded in 2015, it has approximately 57 employees. They focus on mobile app development, IoT development, and other app development.",5.0,(13 Reviews),Memento; Byzans; Tweego; Liquid Tool,A manufacturing firm hired LANARS for their mobile app development services. The app's features included displaying and reporting torque values. A project manager and Flutter developers worked on the project.,"['Automotive', 'Business services', 'Financial services', 'GPS, Navigation & GIS', 'Medical', 'Manufacturing', 'Media', 'Real estate', 'Retail', 'Supply Chain, Logistics, and Transport']","Oslo, Norway",50 - 249 employees,"$25,000+"
Very,internet-of-things,"'Very is an IoT technology firm led by expert problem-solvers to create efficient, scalable solutions that move commercial, industrial and consumer IoT projects from pilot to production in record time. From smart products in homes and businesses to end-to-end smart ecosystems, Very solves complex problems with a strategic, collaborative, and user-centered process designed to ensure every element of the problem is understood before developing solutions.",4.8,(12 Reviews),Vizio; Peloton; Interstate Batteries; Loreal,"By teaming up with Very, SUN was able to develop Helios, a hardware and software edge computing solution that collects machine data, facilitating analysis and understanding of machine health.","['Medical', 'Manufacturing', 'Energy & natural resources', 'Utilities']","Bozeman, MT",50 - 249 employees,"$250,000+"
INTEGRA SOURCES,internet-of-things,,4.9,(22 Reviews),Red Pitaya; Simple Robots; GeoMoby; DaVinci Learning,"INTEGRA SOURCES is developing custom software and hardware to revamp a medical device for a hospital. They’re building features to monitor the patient’s blood oxygen levels, heart rate, and blood pressure.","['Consumer products & services', 'Education', 'GPS, Navigation & GIS', 'Medical', 'Information technology', 'Energy & natural resources', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","Nur-Sultan, Kazakhstan",50 - 249 employees,"$10,000+"
intent,internet-of-things,"Intent (formerly inFullMobile) is a Warsaw, Poland based app and software development firm that was founded in 2008. They have 35 employees and their team focuses on mobile app development, UX/UI design, and custom software development. They mostly work with enterprise clients in the consumer products, information technology, and business services industries.",4.9,(28 Reviews),P&G; Samsung; Conde Nast; Nike,"A software and design agency was in the midst of diversifying their business, so they engaged with intent to build and develop a CRM dashboard to simplify the customer experience.","['Arts, entertainment & music', 'Automotive', 'Consumer products & services', 'eCommerce', 'Gaming', 'Medical', 'Real estate']","Warszawa, Poland",50 - 249 employees,"$50,000+"
Intuz,internet-of-things,"Intuz is a premier digital agency based in San Jose, Calif. that provides end-to-end custom software application development services on Mobile, Web, IoT & Blockchain. Founded in 2008 with offices in San Francisco & India, their 50+ team have a proven track record of delivering cutting-edge mobile apps, digital products and web applications for Startups, SMBs to Fortune 500 companies.",4.7,(41 Reviews),"Bosch; Jones Lang LaSalle; Mercedes AMG; Cambridge Publications, Inc",Intuz developed custom data conversion software for a private investment firm. They built a solution that converts data from one reporting agency and makes it compatible with another program.,"['Business services', 'Manufacturing', 'Energy & natural resources', 'Utilities']","San Francisco, CA",50 - 249 employees,"$25,000+"
AJProTech,internet-of-things,"AJProTech is a Los Angeles, California-based IoT development company. The small agency was founded in 2014. Their services include IoT development, product design, custom software development, and mobile app development.",5.0,(7 Reviews),Exxon Mobile; Google; Fedora Lab; Hyundai,AJProTech created a gaming startup's hardware device prototype. Their task was to connect the prototype to a framework and software through IoT. The team shared their idea and sketches to kickstart the project.,"['Consumer products & services', 'Medical', 'Information technology', 'Manufacturing']","Los Angeles, CA",10 - 49 employees,"$50,000+"
EMBIQ,internet-of-things,"EMBIQ is a software development company based in Lublin, Poland. They have a team of around 40 employees and were founded in 2009. Their services include web and mobile app development, and application testing. ",4.9,(25 Reviews),Spark Control; Onsite Data Intellgence; Eltcrac; TerraLand,"EMBIQ has built an IoT automated testing device for a home solutions firm following the client's requirements. They've tested, implemented, and QA'd the solution, which was built using Python and Raspberry Pi. ","['Business services', 'Financial services', 'Information technology', 'Supply Chain, Logistics, and Transport']","Lublin, Poland",10 - 49 employees,"$10,000+"
Indeema Software Inc.,internet-of-things,"Indeema Software is a software development company based in Lviv, Ukraine, with an office in Seattle. Founded in 2014, the team of 38 specializes in IoT development, blockchain, and web development. They work primarily with small business clients, mostly in the business services industry.",5.0,(17 Reviews),Solar Manager; UDB; iReds; Vidisi,"A wifi gauge manufacturer works with Indeema Software Inc. for custom software development. The team focuses on correcting bugs, updating the admin panel and mobile app, and enhancing and testing the product.","['Arts, entertainment & music', 'Business services', 'Gaming', 'Medical', 'Information technology', 'Telecommunications', 'Supply Chain, Logistics, and Transport']","L'viv, Ukraine",50 - 249 employees,"$5,000+"
